"","Label","Area"
"1","Cx3cr1_1_F_2xLPS_FC_ACC.tif:ACC",333722.348702945
"2","Cx3cr1_1_F_2xLPS_FC_IL.tif:IL",589982.59199219
"3","Cx3cr1_1_F_2xLPS_FC_PL.tif:PL",423037.998007935
"4","Cx3cr1_1_F_2xLPS_HC_CA1.tif:CA1",1018060.08579467
"5","Cx3cr1_1_F_2xLPS_HC_CA2.tif:CA2",172580.911236966
"6","Cx3cr1_1_F_2xLPS_HC_CA3.tif:CA3",634137.1676714
"7","Cx3cr1_1_F_2xLPS_HC_DG.tif:DG",880254.889829163
"8","Cx3cr1_1_F_2xLPS_STR_CP.tif:CP",1715812.5310655
"9","Cx3cr1_1_F_2xLPS_STR_NA.tif:NA",513894.38714973
"10","Cx3cr1_2_F_PBS_FC_ACC.tif:ACC",555957.356548749
"11","Cx3cr1_2_F_PBS_FC_IL.tif:IL",695714.512547962
"12","Cx3cr1_2_F_PBS_FC_PL.tif:PL",506761.978860109
"13","Cx3cr1_2_F_PBS_HC_CA1.tif:CA1",1101797.9600234
"14","Cx3cr1_2_F_PBS_HC_CA2.tif:CA2",94719.222813568
"15","Cx3cr1_2_F_PBS_HC_CA3.tif:CA3",487199.867165657
"16","Cx3cr1_2_F_PBS_HC_DG.tif:DG",765168.333214524
"17","Cx3cr1_2_F_PBS_STR_CP.tif:CP",2876107.78125355
"18","Cx3cr1_2_F_PBS_STR_NA.tif:NA",1732500.73250713
"19","Cx3cr1_3_F_PBS_FC_ACC.tif:ACC",391970.983051159
"20","Cx3cr1_3_F_PBS_FC_IL.tif:IL",621521.625511686
"21","Cx3cr1_3_F_PBS_FC_PL.tif:PL",482924.625828896
"22","Cx3cr1_3_F_PBS_STR_CP.tif:CP",1901912.52892601
"23","Cx3cr1_3_F_PBS_STR_NA.tif:NA",723004.666522125
"24","Cx3cr1_4_F_2xLPS_FC_ACC.tif:ACC",515796.236030367
"25","Cx3cr1_4_F_2xLPS_FC_IL.tif:IL",712421.713478911
"26","Cx3cr1_4_F_2xLPS_FC_PL.tif:PL",534102.60022777
"27","Cx3cr1_4_F_2xLPS_HC_CA1.tif:CA1",576560.046523735
"28","Cx3cr1_4_F_2xLPS_HC_CA2.tif:CA2",367363.913208989
"29","Cx3cr1_4_F_2xLPS_HC_CA3.tif:CA3",513501.335214484
"30","Cx3cr1_4_F_2xLPS_HC_DG.tif:DG",697364.143207915
"31","Cx3cr1_4_F_2xLPS_STR_CP.tif:CP",2491027.79423088
"32","Cx3cr1_4_F_2xLPS_STR_NA.tif:NA",1019029.05974983
"33","Cx3cr1_5_M_PBS_FC_ACC.tif:ACC",342438.245680333
"34","Cx3cr1_5_M_PBS_FC_IL.tif:IL",621186.403272049
"35","Cx3cr1_5_M_PBS_FC_PL.tif:PL",478617.560347529
"36","Cx3cr1_5_M_PBS_HC_CA1.tif:CA1",319752.024208117
"37","Cx3cr1_5_M_PBS_HC_CA2.tif:CA2",167682.011663373
"38","Cx3cr1_5_M_PBS_HC_CA3.tif:CA3",310099.452407397
"39","Cx3cr1_5_M_PBS_HC_DG.tif:DG",374588.706515414
"40","Cx3cr1_5_M_PBS_STR_CP.tif:CP",2534501.47571169
"41","Cx3cr1_5_M_PBS_STR_NA.tif:NA",1524481.973796
